IID	Ethnicity
HG00596	1000g_EAS
HG00598	1000g_EAS
HG00599	1000g_EAS
HG00607	1000g_EAS
HG00608	1000g_EAS
HG00610	1000g_EAS
HG00611	1000g_EAS
HG00613	1000g_EAS
HG00614	1000g_EAS
HG00619	1000g_EAS
HG00620	1000g_EAS
HG00622	1000g_EAS
HG00623	1000g_EAS
HG00625	1000g_EAS
HG00626	1000g_EAS
HG00628	1000g_EAS
HG00629	1000g_EAS
HG00631	1000g_EAS
HG00632	1000g_EAS
HG00634	1000g_EAS
HG00637	1000g_AMR
HG00638	1000g_AMR
HG00640	1000g_AMR
HG00641	1000g_AMR
HG00650	1000g_EAS
HG00651	1000g_EAS
HG00653	1000g_EAS
HG00654	1000g_EAS
HG00656	1000g_EAS
HG00657	1000g_EAS
HG00662	1000g_EAS
HG00663	1000g_EAS
HG00671	1000g_EAS
HG00672	1000g_EAS
HG00674	1000g_EAS
HG00675	1000g_EAS
HG00683	1000g_EAS
HG00684	1000g_EAS
HG00689	1000g_EAS
HG00690	1000g_EAS
HG00692	1000g_EAS
HG00693	1000g_EAS
HG00698	1000g_EAS
HG00699	1000g_EAS
HG00701	1000g_EAS
HG00704	1000g_EAS
HG00705	1000g_EAS
HG00707	1000g_EAS
HG00708	1000g_EAS
HG00717	1000g_EAS
HG00728	1000g_EAS
HG00729	1000g_EAS
HG00731	1000g_AMR
HG00732	1000g_AMR
HG00734	1000g_AMR
HG00736	1000g_AMR
HG00737	1000g_AMR
HG00739	1000g_AMR
HG00740	1000g_AMR
HG00742	1000g_AMR
HG00743	1000g_AMR
HG00759	1000g_EAS
HG00766	1000g_EAS
HG00844	1000g_EAS
HG00851	1000g_EAS
HG00864	1000g_EAS
HG00867	1000g_EAS
HG00879	1000g_EAS
HG00881	1000g_EAS
HG00956	1000g_EAS
HG00978	1000g_EAS
HG00982	1000g_EAS
HG01028	1000g_EAS
HG01029	1000g_EAS
HG01031	1000g_EAS
HG01046	1000g_EAS
HG01047	1000g_AMR
HG01048	1000g_AMR
HG01049	1000g_AMR
HG01051	1000g_AMR
HG01052	1000g_AMR
HG01054	1000g_AMR
HG01055	1000g_AMR
HG01058	1000g_AMR
HG01060	1000g_AMR
HG01061	1000g_AMR
HG01063	1000g_AMR
HG01064	1000g_AMR
HG01066	1000g_AMR
HG01067	1000g_AMR
HG01069	1000g_AMR
HG01070	1000g_AMR
HG01072	1000g_AMR
HG01073	1000g_AMR
HG01075	1000g_AMR
HG01077	1000g_AMR
HG01079	1000g_AMR
HG01080	1000g_AMR
HG01082	1000g_AMR
HG01083	1000g_AMR
HG01085	1000g_AMR
HG01086	1000g_AMR
HG01088	1000g_AMR
HG01089	1000g_AMR
HG01092	1000g_AMR
HG01094	1000g_AMR
HG01095	1000g_AMR
HG01097	1000g_AMR
HG01098	1000g_AMR
HG01101	1000g_AMR
HG01102	1000g_AMR
HG01104	1000g_AMR
HG01105	1000g_AMR
HG01107	1000g_AMR
HG01108	1000g_AMR
HG01110	1000g_AMR
HG01111	1000g_AMR
HG01112	1000g_AMR
HG01113	1000g_AMR
HG01119	1000g_AMR
HG01121	1000g_AMR
HG01122	1000g_AMR
HG01124	1000g_AMR
HG01125	1000g_AMR
HG01130	1000g_AMR
HG01131	1000g_AMR
HG01133	1000g_AMR
HG01134	1000g_AMR
HG01136	1000g_AMR
HG01137	1000g_AMR
HG01139	1000g_AMR
HG01140	1000g_AMR
HG01142	1000g_AMR
HG01148	1000g_AMR
HG01149	1000g_AMR
HG01161	1000g_AMR
HG01162	1000g_AMR
HG01164	1000g_AMR
HG01167	1000g_AMR
HG01168	1000g_AMR
HG01170	1000g_AMR
HG01171	1000g_AMR
HG01173	1000g_AMR
